screen_name,Kategorie
gebauerspon,Journalist
DrTedros,Healthcare
hand_aufs_hirn,Journalist
GeHegmann,Journalist
Sportbuzzer,Medien
RegHessen,Behörde
Land_SH,Behörde
beimwort,Journalist
neon_magazin,Medien
phil_ipp_fritz,Journalist
focuspanorama,Medien
berlindirekt,Medien
SZ_Eilmeldungen,Medien
SZ_Politik,Medien
Svenastheimer,Journalist
Westpol,Medien
aniesmann,Journalist
ManuelaSchwesig,Politiker
aktuelle_stunde,Medien
ZDF,Medien
ZDDK_,Andere
zeitonline_wis,Medien
tazgezwitscher,Medien
MarkusBecker,Journalist
AnneWillTalk,Medien
bmel,Behörde
BMI_Bund,Behörde
ESchellenb,Journalist
UniklinikBonn,Healthcare
mittagsmagazin,Medien
IMbawue,Behörde
Strack_C,Journalist
rbb24cottbus,Medien
zeitonline,Medien
faktenfuchs,Medien
SPIEGEL_live,Medien
ARDTelAviv,Medien
MSI_BW,Behörde
WELT_News,Medien
SchmidtLev,Journalist
