word,Anzahl
panik,Soziales
peking,Politik
gelockert,Soziales
grippe,Gesundheit
intensivstation,Gesundheit
bundesland,Politik
medizinischen,Gesundheit
kommission,Politik
familie,Bildung
familie,Soziales
staat,Politik
infizieren,Politik
wissenschaftler,Politik
gesund,Soziales
gesund,Gesundheit
absagen,Sport
universität,Bildung
warnen,Soziales
olympischen,Sport
drosten,Politik
behandlung,Gesundheit
nordrhein,Politik
westfalen,Politik
reisende,Soziales
reisende,Wirtschaft
liga,Sport
außenminister,Politik
britische,Politik
milionen,Wirtschaft
milionen,Gesundheit
virologen,Politik
negativ,Gesundheit
bahn,Wirtschaft
kontaktbeschränkungen,Soziales
klinikum,Gesundheit
firmen,Wirtschaft
immun,Soziales
immun,Gesundheit
premier,Sport
flughafen,Wirtschaft
flüge,Wirtschaft
lufthansa,Wirtschaft
thomas,Sport
müller,Sport
innenminister,Politik
lehrer,Bildung
erzieher,Bildung
kindergarten,Bildung
hochschule,Bildung
uni,Bildung
vereine,Sport
bürgermeister,Politik
öffnung,Wirtschaft
zuschauer,Sport
league,Sport
seehofer,Politik
fans,Sport
clubs,Sport
veranstalter,Wirtschaft
tourismus,Wirtschaft
sommerferien,Bildung
osterferien,Bildung
italiens,Politik
gastronomie,Wirtschaft
lungenkrankheit,Gesundheit
stadion,Sport
formel,Sport
spielbetrieb,Sport
stillstand,Sport
finanzminister,Politik
profi,Sport
unterricht,Bildung
olympia,Sport
köln,Politik
köln,Sport
ursula,Politik
saarland,Politik
amerika,Politik
beschäftigte,Wirtschaft
schutzkleidung,Soziales
vorpommern,Politik
parlament,Politik
antikörper,Gesundheit
verdopplungszeit,Gesundheit
amateur,Sport
unterrichten,Bildung
pause,Bildung
halbzeit,Sport
infektionszahlen,Gesundheit
homeoffice,Wirtschaft
homeoffice,Bildung
abschluss,Bildung
pressekonferenz,Sport
prüfungen,Bildung
abschlussprüfungen,Bildung
abitur,Bildung
niedersachsen,Politik
thüringer,Politik
medikament,Gesundheit
medikamente,Gesundheit
euro,Wirtschaft
dollar,Wirtschaft
mio,Wirtschaft
handeln,Wirtschaft
handeln,Politik
team,Sport
ausgangssperren,Soziales
schweiz,Politik
entscheiden,Politik
besuch,Soziales
krisenstab,Politik
laliga,Sport
spielplätze,Bildung
spielplätze,Sport
schulschluss,Bildung
intensiv,Gesundheit
